"year","age","week","deaths","pop_start","pop_end","weekMax","season","pop_midweek","exposure"
2006,"80-84",17,2787,2158010,2165181,52,0.317307692307692,2160285.41346154,41543.9502588757
2006,"80-84",18,2853,2158010,2165181,52,0.336538461538462,2160423.31730769,41546.6022559172
2006,"80-84",19,2899,2158010,2165181,52,0.355769230769231,2160561.22115385,41549.2542529586
2006,"80-84",20,2697,2158010,2165181,52,0.375,2160699.125,41551.90625
2006,"80-84",21,2688,2158010,2165181,52,0.394230769230769,2160837.02884615,41554.5582470414
2006,"80-84",22,2712,2158010,2165181,52,0.413461538461538,2160974.93269231,41557.2102440828
2006,"80-84",23,2741,2158010,2165181,52,0.432692307692308,2161112.83653846,41559.8622411243
2006,"80-84",24,2908,2158010,2165181,52,0.451923076923077,2161250.74038462,41562.5142381657
2006,"80-84",25,2773,2158010,2165181,52,0.471153846153846,2161388.64423077,41565.1662352071
2006,"80-84",26,2559,2158010,2165181,52,0.490384615384615,2161526.54807692,41567.8182322485
2006,"80-84",27,2857,2158010,2165181,52,0.509615384615385,2161664.45192308,41570.4702292899
2006,"80-84",28,2675,2158010,2165181,52,0.528846153846154,2161802.35576923,41573.1222263314
2006,"80-84",29,3075,2158010,2165181,52,0.548076923076923,2161940.25961538,41575.7742233728
2006,"80-84",30,3378,2158010,2165181,52,0.567307692307692,2162078.16346154,41578.4262204142
2006,"80-84",31,2641,2158010,2165181,52,0.586538461538462,2162216.06730769,41581.0782174556
2006,"80-84",32,2621,2158010,2165181,52,0.605769230769231,2162353.97115385,41583.730214497
2006,"80-84",33,2584,2158010,2165181,52,0.625,2162491.875,41586.3822115385
2006,"80-84",34,2617,2158010,2165181,52,0.644230769230769,2162629.77884615,41589.0342085799
2006,"80-84",35,2493,2158010,2165181,52,0.663461538461538,2162767.68269231,41591.6862056213
2006,"80-84",36,2622,2158010,2165181,52,0.682692307692308,2162905.58653846,41594.3382026627
2006,"80-84",37,2827,2158010,2165181,52,0.701923076923077,2163043.49038462,41596.9901997041
2006,"80-84",38,2638,2158010,2165181,52,0.721153846153846,2163181.39423077,41599.6421967456
2006,"80-84",39,2555,2158010,2165181,52,0.740384615384615,2163319.29807692,41602.294193787
2006,"80-84",40,2501,2158010,2165181,52,0.759615384615385,2163457.20192308,41604.9461908284
2006,"80-84",41,2685,2158010,2165181,52,0.778846153846154,2163595.10576923,41607.5981878698
2006,"80-84",42,2755,2158010,2165181,52,0.798076923076923,2163733.00961538,41610.2501849112
2006,"80-84",43,2757,2158010,2165181,52,0.817307692307692,2163870.91346154,41612.9021819527
2006,"80-84",44,2642,2158010,2165181,52,0.836538461538462,2164008.81730769,41615.5541789941
2006,"80-84",45,2895,2158010,2165181,52,0.855769230769231,2164146.72115385,41618.2061760355
2006,"80-84",46,2747,2158010,2165181,52,0.875,2164284.625,41620.8581730769
2006,"80-84",47,2765,2158010,2165181,52,0.894230769230769,2164422.52884615,41623.5101701183
2006,"80-84",48,2691,2158010,2165181,52,0.913461538461538,2164560.43269231,41626.1621671598
2006,"80-84",49,2874,2158010,2165181,52,0.932692307692308,2164698.33653846,41628.8141642012
2006,"80-84",50,2812,2158010,2165181,52,0.951923076923077,2164836.24038462,41631.4661612426
2006,"80-84",51,2925,2158010,2165181,52,0.971153846153846,2164974.14423077,41634.118158284
2006,"80-84",52,2835,2158010,2165181,52,0.990384615384615,2165112.04807692,41636.7701553254
2006,"85-89",1,2242,918153,1071402,52,0.00961538461538462,919626.548076923,17685.1259245562
2006,"85-89",2,2175,918153,1071402,52,0.0288461538461538,922573.644230769,17741.8008505917
2006,"85-89",3,2297,918153,1071402,52,0.0480769230769231,925520.740384615,17798.4757766272
2006,"85-89",4,2239,918153,1071402,52,0.0673076923076923,928467.836538462,17855.1507026627
2006,"85-89",5,2267,918153,1071402,52,0.0865384615384615,931414.932692308,17911.8256286982
2006,"85-89",6,2317,918153,1071402,52,0.105769230769231,934362.028846154,17968.5005547337
2006,"85-89",7,2282,918153,1071402,52,0.125,937309.125,18025.1754807692
2006,"85-89",8,2247,918153,1071402,52,0.144230769230769,940256.221153846,18081.8504068047
